Piping Systems,IMT-151-001,M T W TH,2023 Maymester,5/8/2023 - 5/26/2023,06:00 PM - 09:50 PM,Thornley,920,829,LEC,15,0
Field Production I,MAP-122-002,M W TH,2023 Maymester,5/8/2023 - 5/26/2023,09:30 AM - 02:02 PM,Thornley,950,256,HYB,18,0
College Algebra,MAT-110-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,35,0
Probability and Statistics,MAT-120-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,35,0
Principles of Management,MGT-101-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,35,0
Marketing,MKT-101-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,35,0
Customer Service Principles,MKT-130-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,35,0
Music Appreciation,MUS-105-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,30,0
Music Appreciation,MUS-105-W06,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,30,0
Introduction to Philosophy,PHI-101-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,30,0
Ethics,PHI-110-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,30,0
Physics I,PHY-201-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,16,0
Physics II,PHY-202-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,16,0
General Psychology,PSY-201-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,26,0
General Psychology,PSY-201-W02,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,26,0
Introduction to Religion,REL-101-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,30,0
Introduction to Sociology,SOC-101-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,26,0
Elementary Spanish I,SPA-101-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,26,0
Elementary Spanish II,SPA-102-W04,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,26,0
Public Speaking,SPC-205-001,M T W TH,2023 Maymester,5/8/2023 - 5/26/2023,09:00 AM - 12:00 PM,Off Site,,,SOM,26,0
Interpersonal Communication,SPC-209-W01,,2023 Maymester,5/8/2023 - 5/26/2023,,Off Site,,,INT,31,0
Accounting Principles I,ACC-101-W02,,2023 Summer 1,5/30/2023 - 6/28/2023,,Off Site,,,INT,35,0
Assembly and Rigging,ACM-150-001,M T W TH F,2023 Summer 1,5/30/2023 - 6/16/2023,08:00 AM - 09:25 AM,Thornley,1000,138,LEC,14,0
Assembly and Rigging,ACM-150-001,M T W TH F,2023 Summer 1,5/30/2023 - 6/16/2023,09:30 AM - 01:30 PM,Thornley,1000,142B,LAB,14,0
Aircraft Environmental Systems,ACM-155-001,M T W TH F,2023 Summer 1,6/19/2023 - 7/10/2023,08:00 AM - 09:25 AM,Thornley,1000,138,LEC,14,0
Aircraft Environmental Systems,ACM-155-001,M T W TH F,2023 Summer 1,6/19/2023 - 7/10/2023,09:30 AM - 01:30 PM,Thornley,1000,142B,LAB,14,0
Aircraft Environmental Systems,ACM-155-002,M T W TH F,2023 Summer 1,5/30/2023 - 6/13/2023,04:00 PM - 05:25 PM,Thornley,1000,138,LEC,14,0
Aircraft Environmental Systems,ACM-155-002,M T W TH F,2023 Summer 1,5/30/2023 - 6/13/2023,05:30 PM - 09:30 PM,Thornley,1000,142B,LAB,14,0
Utility and Warning Systems,ACM-160-002,M T W TH F,2023 Summer 1,6/14/2023 - 6/27/2023,04:00 PM - 09:30 PM,Thornley,1000,138,LEC,14,0
Landing Gear Systems,ACM-167-002,M T W TH F,2023 Summer 1,6/28/2023 - 7/19/2023,04:00 PM - 05:25 PM,Thornley,1000,138,LEC,14,0
Landing Gear Systems,ACM-167-002,M T W TH F,2023 Summer 1,6/28/2023 - 7/19/2023,05:30 PM - 09:30 PM,Thornley,1000,142B,LAB,14,0
Reciprocating Engine Overhaul,ACM-210-001,M T W TH F,2023 Summer 1,5/30/2023 - 7/17/2023,08:00 AM - 09:25 AM,Thornley,1000,140,LEC,14,0
Reciprocating Engine Overhaul,ACM-210-001,M T W TH F,2023 Summer 1,5/30/2023 - 7/17/2023,09:30 AM - 01:30 PM,Thornley,1000,142A,LAB,14,0
